#{"t_start": 1768249545.6688778, "env_id": "SpaceInvaders-v0"}
r,l,t
100.0,501,713.651788
185.0,750,715.166907
20.0,364,715.887501
75.0,376,716.606718
100.0,443,717.469405
115.0,547,718.550602
115.0,765,720.12983
115.0,665,721.449094
110.0,691,722.856682
155.0,652,724.182542
55.0,337,724.813173
95.0,674,726.202632
155.0,641,727.539973
60.0,461,728.464099
190.0,630,729.704921
185.0,663,731.015274
135.0,591,732.270021
145.0,507,733.301439
135.0,525,734.361094
110.0,503,735.404465
155.0,513,736.396282
240.0,1076,738.692395
150.0,683,740.039589
95.0,515,741.112228
195.0,717,742.650927
35.0,342,757.553095
145.0,818,759.285913
95.0,549,760.384143
70.0,648,761.714284
115.0,560,762.831869
105.0,496,763.812639
10.0,427,764.639777
385.0,1075,766.911188
165.0,722,768.399209
215.0,690,769.806328
105.0,526,771.054987
50.0,461,772.144642
45.0,579,773.57935
0.0,437,774.612475
10.0,492,775.717778
230.0,913,777.894343
130.0,845,779.949393
160.0,683,781.680997
270.0,904,783.892879
150.0,720,785.630518
125.0,631,787.093949
390.0,1234,790.084921
240.0,1134,792.801775
155.0,660,794.384995
345.0,823,796.38859
105.0,591,797.737803
375.0,1196,800.609483
430.0,1356,804.066809
190.0,996,806.49705
595.0,1053,809.059342
120.0,661,810.594377
90.0,411,811.558858
210.0,926,813.82228
530.0,838,815.89319
140.0,624,817.328396
120.0,846,819.348443
35.0,529,820.588557
330.0,932,822.794372
195.0,1179,825.630752
140.0,701,827.242892
145.0,776,829.073326
125.0,623,830.5274
125.0,897,832.672913
65.0,466,833.840107
485.0,1182,836.623372
145.0,690,838.280611
205.0,826,840.249484
85.0,489,841.334682
75.0,628,842.834233
60.0,684,844.399157
270.0,882,846.689635
140.0,654,848.262757
270.0,821,850.176663
195.0,936,852.400041
735.0,1711,856.572187
120.0,952,858.847959
155.0,643,860.357229
195.0,832,862.43892
525.0,859,864.602075
145.0,1125,867.297522
120.0,931,869.530397
400.0,1068,872.111959
210.0,889,874.248428
50.0,518,875.474001
95.0,623,876.972578
175.0,1138,879.726223
120.0,545,881.007956
410.0,1201,883.998548
105.0,678,885.625045
110.0,399,886.50365
195.0,671,888.124707
55.0,479,889.257893
225.0,890,891.388535
470.0,901,893.731868
180.0,712,895.468068
250.0,938,897.722227
270.0,837,899.709377
160.0,881,901.804396
150.0,642,903.330749
40.0,633,904.823043
260.0,855,906.865175
110.0,568,908.186234
110.0,607,909.604764
125.0,547,910.842519
65.0,603,912.312788
150.0,746,914.095877
435.0,1061,916.664859
100.0,613,918.009256
275.0,842,919.78194
135.0,661,921.15056
120.0,1044,923.382886
155.0,731,924.929899
365.0,1082,927.210006
60.0,698,928.72148
170.0,682,930.13852
265.0,874,932.013992
205.0,720,933.532974
80.0,435,934.440607
290.0,1042,936.687867
640.0,1239,939.347539
165.0,659,940.745053
130.0,666,942.179904
110.0,617,943.431572
60.0,642,944.80694
475.0,1264,947.531259
220.0,1019,949.791517
75.0,655,951.156887
225.0,936,953.203252
165.0,1002,969.556321
180.0,803,971.248274
95.0,897,973.151064
260.0,901,975.114626
65.0,634,976.471659
35.0,528,977.569628
160.0,698,979.031828
180.0,681,980.423179
215.0,1272,983.212187
455.0,1834,987.267229
95.0,545,988.401339
135.0,625,989.665195
370.0,1293,992.40695
180.0,1005,994.60633
120.0,696,996.108058
225.0,1135,998.545071
80.0,422,999.420216
275.0,1159,1001.984074
180.0,621,1003.275046
120.0,689,1004.822622
115.0,722,1006.404133
65.0,490,1007.453622
265.0,824,1009.275429
290.0,953,1011.322441
145.0,874,1013.230089
195.0,1005,1015.394161
170.0,826,1017.113934
290.0,951,1019.160221
295.0,993,1021.265515
375.0,1288,1024.089678
160.0,720,1025.632245
60.0,642,1027.010651
135.0,524,1028.071289
155.0,517,1029.126436
210.0,576,1030.318961
110.0,617,1031.601301
145.0,822,1033.344595
215.0,706,1034.896003
110.0,949,1036.927823
180.0,632,1038.268615
50.0,519,1039.347639
180.0,645,1040.752071
165.0,848,1042.575778
125.0,915,1044.601234
10.0,511,1045.637818
80.0,447,1046.537743
110.0,631,1047.89349
350.0,1033,1050.181759
110.0,511,1051.21784
35.0,493,1052.268783
405.0,790,1053.955076
135.0,544,1055.162227
135.0,814,1056.918123
180.0,876,1058.777135
95.0,538,1059.911572
95.0,696,1061.419047
95.0,657,1062.829177
140.0,746,1064.403823
170.0,936,1066.429999
415.0,902,1068.3283
410.0,1005,1070.466249
460.0,1118,1072.882693
45.0,521,1073.977294
180.0,938,1076.003154
290.0,912,1077.956053
35.0,486,1078.942353
590.0,1276,1081.666268
110.0,659,1083.036473
135.0,518,1084.086189
970.0,2030,1088.543452
135.0,838,1090.360532
105.0,763,1091.993746
575.0,1625,1095.549535
215.0,1192,1098.132464
135.0,731,1099.713217
110.0,653,1101.070053
165.0,931,1103.144027
80.0,531,1104.258208
370.0,862,1106.158596
90.0,605,1107.464628
485.0,1430,1110.65519
145.0,718,1112.21805
